,ground_nof,bstory_cnt,bottom_area,season_se_nm,fire_ocrn_hour,daywk,sigungu_nm,spt_safe_cnter_dist,fclty_place_lclas_nm,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,time_unit_tmprt,time_unit_ws,time_unit_humidity,time_unit_rainqty,time_unit_msnf,totar
2830,14.0,0.0,997.19,가을,22.0,화요일,성동구,2.0,주거,N,Y,N,N,28.8,1.3,77.0,0.0,0.0,9445.48
2831,5.0,1.0,114.18,가을,22.0,화요일,동대문구,1.6,산업시설,N,N,N,N,28.8,1.3,77.0,0.0,0.0,667.4
2832,0.0,4.0,0.0,가을,2.0,수요일,영등포구,2.8,판매/업무시설,N,N,N,N,27.3,1.8,81.0,0.0,0.0,3307.57
2833,23.0,7.0,3176.0,가을,3.0,수요일,영등포구,2.1,생활서비스,N,N,N,N,26.9,1.5,82.0,0.0,0.0,44859.0
2834,25.0,2.0,84.97,가을,8.0,수요일,송파구,1.0,의료/복지시설,N,Y,N,N,27.7,1.8,82.0,0.0,0.0,10706.15
2835,1.0,0.0,0.0,가을,9.0,수요일,종로구,1.5,주거,N,N,N,N,28.8,1.7,79.0,0.0,0.0,29.61
2836,3.0,1.0,688.64,가을,9.0,수요일,중랑구,0.5,생활서비스,N,Y,N,N,28.8,1.7,79.0,0.0,0.0,2236.9
2838,5.0,0.0,130.0,가을,12.0,수요일,송파구,1.0,주거,N,N,N,N,30.5,2.3,71.0,0.0,0.0,650.0
2839,5.0,1.0,114.0,가을,13.0,수요일,마포구,0.9,생활서비스,N,N,N,N,31.1,2.2,72.0,0.0,0.0,671.0
2840,6.0,1.0,189.57,가을,15.0,수요일,강남구,2.3,교육시설,N,N,N,N,32.6,2.4,64.0,0.0,0.0,1338.41
2841,4.0,1.0,302.05,가을,16.0,수요일,동작구,1.8,생활서비스,N,N,N,N,32.8,3.0,63.0,0.0,0.0,1024.81
2842,16.0,1.0,543.88,가을,17.0,수요일,중랑구,2.1,주거,N,Y,N,N,33.2,2.1,62.0,0.0,0.0,6937.44
2843,5.0,0.0,189.31,가을,18.0,수요일,강서구,2.0,판매/업무시설,N,Y,N,N,32.9,2.4,63.0,0.0,0.0,867.65
2844,3.0,1.0,145.5,가을,18.0,수요일,구로구,3.3,주거,N,N,N,N,32.9,2.4,63.0,0.0,0.0,542.4
2845,6.0,1.0,98.94,가을,21.0,수요일,관악구,1.8,판매/업무시설,N,N,N,N,31.4,2.4,70.0,0.0,0.0,676.26
2846,4.0,1.0,130.68,가을,21.0,수요일,영등포구,1.5,판매/업무시설,N,N,N,N,31.4,2.4,70.0,0.0,0.0,653.4
2847,3.0,1.0,234.0,가을,22.0,수요일,서대문구,3.1,주거,N,N,N,N,27.8,4.6,84.0,0.7,0.0,497.6
2849,18.0,1.0,980.0,가을,22.0,수요일,성북구,1.2,주거,N,N,N,N,27.8,4.6,84.0,0.7,0.0,31.63
2850,4.0,0.0,79.32,가을,23.0,수요일,성북구,1.2,주거,N,N,N,N,26.6,1.4,91.0,15.4,0.0,279.36
2851,14.0,6.0,689.04,가을,1.0,목요일,서초구,2.9,판매/업무시설,N,N,N,N,26.7,1.5,93.0,0.0,0.0,19253.68
2852,22.0,5.0,768.06,가을,3.0,목요일,송파구,0.6,생활서비스,N,Y,N,N,26.7,1.1,91.0,0.0,0.0,9982.69
2853,4.0,1.0,148.55,가을,9.0,목요일,관악구,1.5,주거,N,N,N,N,28.5,3.0,78.0,0.0,0.0,648.54
2854,15.0,1.0,101.2,가을,9.0,목요일,양천구,1.3,주거,N,N,N,N,28.5,3.0,78.0,0.0,0.0,10863.52
2855,4.0,1.0,130.49,가을,10.0,목요일,동작구,2.2,산업시설,N,N,N,N,29.5,4.3,72.0,0.0,0.0,654.93
2856,4.0,1.0,114.4,가을,14.0,목요일,강남구,2.0,생활서비스,N,N,N,N,30.6,3.1,70.0,0.0,0.0,494.64
2857,2.0,0.0,80.28,가을,18.0,목요일,성동구,1.5,생활서비스,N,N,N,N,29.6,3.7,78.0,0.0,0.0,160.56
